popularity,budget,revenue,original_title,cast,director,keywords,runtime,genres,production_companies,vote_count,vote_average,release_year
1.449072,8900000.0,50136.0,Heist,Jeffrey Dean Morgan|Robert De Niro|Kate Bosworth|Dave Bautista|Gina Carano,Scott Mann,casino|robbery|bus hijacking|heist,93,Crime|Action|Thriller,Emmett/Furla Films|Silver Plane Films|Mass Hysteria Entertainment|Tri Vision Pictures,233,5.4,2015
1.443406,20000000.0,208588.0,Dark Places,Charlize Theron|Nicholas Hoult|Christina Hendricks|ChloÃ« Grace Moretz|Tye Sheridan,Gilles Paquet-Brenner,prison|based on novel|brother sister relationship|satanism|witness,113,Drama|Mystery|Thriller,Denver and Delilah Productions|Mandalay Vision|Exclusive Media Group|Hugo Productions|Cuatro Plus Films,322,5.7,2015
1.38032,3752316.162340903,4641089.515847268,The Scorpion King: The Lost Throne,Victor Webster|Ellen Hollman|Barry Bostwick|Will Kemp|M. Emmet Walsh,Mike Elliott,magic|fantasy|steampunk|dragon,105,Action|Fantasy|Adventure,Universal Pictures,22,4.5,2015
1.360827,3752316.162340903,5189646.0,Absolutely Anything,Simon Pegg|Kate Beckinsale|Rob Riggle|Sanjeev Bhaskar|Joanna Lumley,Terry Jones,london|alien|teacher|talking animal|super powers,85,Comedy|Science Fiction,Premiere Picture|Bill and Ben Productions|GFM films,199,5.8,2015
1.342839,3752316.162340903,4641089.515847268,Everly,Salma Hayek|Hiroyuki Watanabe|Jennifer Blanc|Togo Igawa|Caroline Chikezie,Joe Lynch,assassin|mob boss,90,Thriller|Action,"Crime Scene Pictures|Radius-TWC|Anonymous Content|Vega, Baby!",169,5.1,2015
1.329702,3752316.162340903,229094.0,Slow West,Michael Fassbender|Kodi Smit-McPhee|Ben Mendelsohn|Caren Pistorius|Rory McCann,John Maclean,fire|bounty hunter|shotgun|horseback riding|horse,84,Romance|Thriller|Western,The New Zealand Film Commission|Film4|See Saw Films|DMC Films,229,6.6,2015
1.316239,15000000.0,8235661.0,Trumbo,Bryan Cranston|Diane Lane|Helen Mirren|Elle Fanning|Louis C.K.,Jay Roach,screenwriter|communist|biography|film history|hollywood,124,Drama,Groundswell Productions|Inimitable Pictures|ShivHans Pictures,273,7.2,2015
1.315266,19500000.0,32189727.0,Secret in Their Eyes,Chiwetel Ejiofor|Nicole Kidman|Julia Roberts|Dean Norris|Lyndon Smith,Billy Ray,fbi|missing child,111,Crime|Drama|Mystery,Ingenious Media|Gran Via Productions|IM Global|Route One Films,202,6.2,2015
1.29314,3752316.162340903,2500431.0,Mistress America,Greta Gerwig|Lola Kirke|Charlie Gillette|Dean Wareham|Heather Lind,Noah Baumbach,comedy,84,Comedy,RT Features,132,6.4,2015
1.278928,20000000.0,43967255.0,Max,Thomas Haden Church|Josh Wiggins|Lauren Graham|Robbie Amell|Mia Xitlali,Boaz Yakin,afghanistan|war|based on true story|rescue|betrayal,111,Adventure|Drama|Family,Sunswept Entertainment|Warner Bros.|Metro-Goldwyn-Mayer (MGM),214,7.0,2015
1.251681,11000000.0,4641089.515847268,Louder Than Bombs,Gabriel Byrne|Isabelle Huppert|Jesse Eisenberg|Devin Druid|Amy Ryan,Joachim Trier,usa|brother brother relationship|father-son relationship|car accident|death of mother,109,Drama,Motlys|Arte France CinÃ©ma|Animal Kingdom,43,6.3,2015
1.245224,3752316.162340903,1702433.0,A Perfect Day,Olga Kurylenko|Benicio del Toro|Tim Robbins|MÃ©lanie Thierry|Fedja Stukan,Fernando LeÃ³n de Aranoa,road movie,106,Comedy|Drama,Reposado Producciones|TelevisiÃ³n EspaÃ±ola (TVE)|Mediapro,102,6.3,2015
1.161812,3752316.162340903,118483.0,Z for Zachariah,Margot Robbie|Chiwetel Ejiofor|Chris Pine,Craig Zobel,love triangle|based on novel|jealousy|radiation|tractor,97,Drama|Science Fiction|Thriller,Palomar Pictures|Lucky Hat Entertainment|Silver Reel|Material Pictures|Zik Zak Kvikmyndir,181,5.5,2015
1.144808,3752316.162340903,4641089.515847268,Dragonheart 3: The Sorcerer's Curse,Julian Morris|Tamzin Merchant|Jassa Ahluwalia|Ben Kingsley|Jonjo O'Neill,Colin Teague,magic|wall|druid|knight|dragon,97,Action|Adventure|Fantasy,Raffaella Productions,59,4.5,2015
1.142518,6000000.0,41387687.0,The Lady in the Van,Maggie Smith|Alex Jennings|Frances de la Tour|Gwen Taylor|Dominic Cooper,Nicholas Hytner,based on novel|biography|based on true story,104,Comedy|Drama,BBC Films|TriStar Productions,135,5.9,2015
1.128081,3752316.162340903,4641089.515847268,Brothers of the Wind,Manuel Camacho|Jean Reno|Tobias Moretti|Eva Kuen,Gerado Olivares|Otmar Penker,eagle|learning to fly|eagle's feather|father son conflict|bird's nest,98,Adventure|Drama|Family,Terra Mater Factual Studios,11,7.5,2015
1.125239,8000000.0,3759286.0,Anomalisa,Jennifer Jason Leigh|David Thewlis|Tom Noonan,Duke Johnson|Charlie Kaufman,sex|depression|existentialism,90,Animation|Comedy|Drama|Romance,Starburns Industries,259,6.7,2015
